약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,구분
강남차차약국,02-6465-4152,"서울특별시 강남구 강남대로94길 27, 1층 105호 (역삼동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,15:00~20:00,-,-,주간
유명약국,02-6053-1048,"서울특별시 노원구 동일로192길 83, 용마빌딩 1층 105호 (공릉동)",09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,13:00~21:00,-,주간
봄약국,02-703-6380,"서울특별시 마포구 백범로31길 7, 상가2동 203호 (공덕동, 공덕SK리더스뷰)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,주간
휴베이스리더스약국,02-525-5603,"서울특별시 서초구 사임당로 158, 리더스원 상가 1층 146호 (서초동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-,주간
코코약국,02-441-7581,"서울특별시 강동구 상일로 55, 202호 (상일동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
종로센트럴약국,02-743-1937,"서울특별시 종로구 종로 127-2, 영흥빌딩 104호 (종로3가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,12:00~18:00,-,주간
황약국,02-807-9977,"서울특별시 금천구 시흥대로 190, 새마빌딩 1층 (시흥동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
청담라인약국,02-548-6612,"서울특별시 강남구 도산대로49길 16, 1층 102호 (신사동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~17:00,-,-,주간
하리약국,02-543-3577,"서울특별시 강남구 강남대로 606, 삼주빌딩 1층 일부호 (논현동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~21:00,10:00~18:00,-,-,주간
파인약국,02-336-3301,"서울특별시 서대문구 신촌로 65, 1층 (창천동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,13:00~21:00,13:00~21:00,주간
미라클약국,070-7723-6050,"서울특별시 용산구 한강대로 259, 고려에이트리움 1층 109호 (갈월동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
이화봄봄약국,02-932-3400,"서울특별시 노원구 동일로 1645, 바이크종합매장 A동 1층 (상계동)",09:00~20:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~20:00,09:00~17:00,-,-,주간
스타약국,02-763-0902,"서울특별시 종로구 대학로 146, 혜화동씨티밸리 102-2호 (혜화동)",09:40~18:50,09:40~18:50,09:40~18:50,09:40~18:50,09:40~20:00,09:40~16:00,-,-,주간
늘한마음약국,02-3392-5406,"서울특별시 노원구 노해로 494, 1층 109호 (상계동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,주간
오약국,02-549-7170,"서울특별시 강남구 봉은사로 159, 정글빌딩 1층 (논현동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-,주간
봄날약국,02-3295-5458,"서울특별시 동대문구 답십리로 9, 1층 A호 (전농동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
윤슬약국,02-988-7942,"서울특별시 강북구 삼양로 162, 젬스톤프라자 1층 106호 (미아동)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,-,-,주간
서초사랑약국,02-581-6997,"서울특별시 서초구 사임당로 158, 리더스원 상가 3층 308호 (서초동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,주간
시흥한양약국,02-2682-8477,"서울특별시 금천구 시흥대로 82, 에이동 1층 (시흥동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,주간
포레약국,02-543-2007,"서울특별시 강남구 도산대로 134, 지하2층 일부호 (논현동)",10:00~21:30,10:00~21:30,10:00~21:30,10:00~21:30,10:00~21:30,10:00~18:30,-,-,주간
서경약국,070-8809-9222,"서울특별시 서초구 방배로 95, 1층 (방배동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~15:00,10:00~16:00,-,주간
잠실착한약국,02-424-1346,"서울특별시 송파구 올림픽로 지하 265, 잠실역2호선 B1 101호 (신천동)",08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,08:00~22:30,09:00~22:30,-,-,주간
정릉열린약국,02-911-2486,서울특별시 성북구 보국문로 40-3 (정릉동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,주간
태평양온누리약국,02-2652-9007,"서울특별시 양천구 신월로 314, 1층 (신정동)",08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,08:30~21:30,09:00~21:00,09:00~21:00,주간
씨유약국,02-6277-1333,"서울특별시 영등포구 국제금융로6길 26, 한국노총 3층 (여의도동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
하나약국,02-723-0588,"서울특별시 종로구 경교장길 35, 상가동 3151호 (평동, 경희궁자이 3단지)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-,주간
구름약국,02-516-0954,"서울특별시 강남구 논현로171길 11, 1층 (신사동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~17:00,-,-,주간
뿌리본약국,02-572-4799,"서울특별시 서초구 남부순환로 2585, 25호 (서초동, 양재역 신분당선내 임대상가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,11:00~18:00,11:00~18:00,11:00~18:00,주간
강일윤약국,02-3427-2081,"서울특별시 강동구 아리수로93나길 60, 골드프라자 109호 (강일동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-,주간
다정온누리약국,02-302-5855,"서울특별시 서대문구 거북골로 120, 상가3동 3-1호 (남가좌동, DMC센트레빌)",08:30~20:30,08:30~20:30,08:30~19:30,08:30~20:30,08:30~19:30,08:30~14:00,14:00~19:00,-,주간
마법의약국,02-6396-3600,"서울특별시 강서구 공항대로 186, 로뎀타워 2층 205-1호 (마곡동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,주간
씨에이(CA)정문약국,02-825-1122,"서울특별시 동작구 흑석로 108, 1~2층 (흑석동)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-,주간
다온약국,02-499-7590,"서울특별시 광진구 긴고랑로 41 (중곡동, 대화탕)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,-,-,-,주간
민정약국,02-980-1244,서울특별시 강북구 오패산로30길 41 (미아동),08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,09:00~16:00,-,-,주간
수려한약국,02-325-8487,"서울특별시 마포구 월드컵북로 137, 1층 2호 (성산동, 씨에스타워)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
기쁨약국,02-574-1087,서울특별시 강남구 개포로 228,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,10:30~21:30,08:30~22:00,주간
세종약국,02-3210-2292,"서울특별시 종로구 세종대로23길 54, 세종빌딩 지하1층 130호 (당주동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-,주간
햇살약국,02-387-5358,"서울특별시 은평구 진관4로 17, 820동 1층 113호 (진관동, 은평뉴타운상림마을)",10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,10:00~17:00,-,-,-,주간
라이프약국,02-549-4750,"서울특별시 강남구 삼성로149길 32, 102호 (청담동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-,주간
신동서약국,02-924-3388,서울특별시 동대문구 약령시로 2-1 (제기동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~13:00,-,-,주간
필약국,02-6954-0579,"서울특별시 관악구 남부순환로 1605, 1층 (신림동)",09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~21:00,09:30~19:00,-,-,주간
도곡명약국,02-6953-7755,"서울특별시 강남구 도곡로28길 8, 상가동 102,103호 (도곡동, 도곡1차 I PARK)",09:00~20:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
더블유스토어아름다운약국,02-3667-5617,서울특별시 영등포구 영중로 6 (영등포동3가),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,주간
사당소화약국,02-521-3474,"서울특별시 동작구 동작대로 7, 1층 (사당동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,12:00~14:00,12:00~14:00,주간
스타약국,02-382-1566,"서울특별시 은평구 은평로 220, A동 1층 118호 (응암동, 녹번역e편한세상캐슬아파트)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~14:00,-,-,주간
중앙약국,02-908-3579,"서울특별시 도봉구 도봉로 452, 1층 (창동)",09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~18:15,09:00~13:30,-,-,주간
서울위드팜약국,02-747-0500,"서울특별시 종로구 대학로 119, 1, 2층 (명륜4가)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,11:00~18:00,-,주간
정다운약국,02-957-3153,"서울특별시 동대문구 이문로54길 46, 1층 108호 (이문동, 이문e편한세상아파트상가1동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-,주간
이층약국,02-379-8540,"서울특별시 서대문구 홍은중앙로3길 9, 203호 (홍은동, 북한산 두산 위브)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,주간
로뎀약국,02-863-8975,"서울특별시 관악구 난곡로 349, 1층 102호 (신림동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
신경희약국,02-426-5826,"서울특별시 강동구 동남로71길 32, 환타지아 105호 (명일동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
왕온누리약국,02-2679-0316,"서울특별시 영등포구 영중로24길 4, 1층 (영등포동5가)",09:00~18:30,09:00~18:30,09:00~21:00,09:00~18:30,09:00~18:30,09:00~16:30,-,-,주간
기린약국,050-71316-7241,서울특별시 서초구 잠원로 24 반포자이프라자상가 1층,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,09:00~25:00,주간
백세약국,02-3421-7015,"서울특별시 중랑구 신내로 82, 1층 109호 (신내동, 금강빌딩)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,09:00~22:00,09:00~22:00,주간
늘푸른약국,02-885-0074,"서울특별시 관악구 신림로 137 (신림동, 조흥빌딩)",08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,-,-,-,주간
종로태평양약국,02-979-0426,서울특별시 중랑구 동일로 917 (묵동),08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,09:00~19:00,-,주간
이도약국,02-822-2229,"서울특별시 동작구 만양로 112, 1층 (노량진동, 서원빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:30,-,-,주간
소나무약국,02-931-1996,"서울특별시 노원구 노원로 330, 롯데마트 지하1층 (중계동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,주간
학동약국,02-3443-8575,"서울특별시 강남구 학동로 203, 1층 (논현동)",08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:20~14:00,-,-,주간
새드림약국,070-8841-0063,"서울특별시 서초구 강남대로 435, 주류성빌딩 1층 (서초동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~18:00,-,-,주간
구슬약국,02-585-6991,"서울특별시 서초구 서초중앙로 113, 영한빌딩 1층 (서초동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,10:00~20:00,-,-,주간
동서옵티마약국,02-943-3572,"서울특별시 성북구 동소문로 304, 이재범치과의원 1층 (하월곡동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~16:00,-,-,주간
쌍문마이팜약국,02-990-3040,"서울특별시 도봉구 도봉로141길 11, 1층 (쌍문동)",08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~19:30,08:00~15:30,-,-,주간
열린약국,02-424-7048,"서울특별시 송파구 가락로 166, 1층 (송파동)",09:00~19:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~22:00,20:00~22:00,-,주간
현대온누리약국,02-895-8859,"서울특별시 금천구 독산로 142 (시흥동, 덕산빌딩)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,주간
호정약국,02-712-1276,"서울특별시 마포구 효창원로 248-3, 1층 (공덕동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
대명약국,02-866-2728,"서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차 104호 (가산동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,09:00~13:00,-,-,주간
대원약국,02-2633-8703,"서울특별시 영등포구 당산로 34 (문래동3가,4층)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,주간
친절한성심정문약국,02-841-3355,"서울특별시 영등포구 시흥대로 681, 삼성YJ그랜드빌딩 (대림동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-,주간
화일온누리약국,02-842-6681,"서울특별시 영등포구 도신로64길 10, 1층 (신길동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,-,-,주간
김약국,02-825-4384,"서울특별시 동작구 노량진로 162, . 1층 (노량진동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,11:00~21:00,11:00~21:00,주간
일원약국,02-2226-7942,"서울특별시 강남구 일원로 120, 상가동 1층 104호 (일원동, 샘터마을아파트)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,주간
아이약국,02-3482-1688,"서울특별시 서초구 서초대로77길 55, 에이프로 스퀘어 1층 (서초동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~16:00,-,-,주간
아너힐즈약국,02-572-0057,"서울특별시 강남구 삼성로 11, 상가 지상1층 113호 (개포동, 디에이치 아너힐즈)",10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~19:30,10:00~14:30,-,-,주간
밝은약국,02-535-1912,"서울특별시 서초구 사평대로56길 7, 1층 106호 (서초동, 서초한일유앤아이주상복합)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,10:00~16:00,-,-,주간
종로성지약국,02-511-8283,"서울특별시 종로구 돈화문로 지하 30, 3호선 종로3가역 319-306호 (묘동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,주간
미소어울림약국,02-2291-1202,"서울특별시 성동구 독서당로40길 39, 옥수 어울림 1층 211호 (옥수동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
중계열방약국,02-930-8679,"서울특별시 노원구 한글비석로 250, 2층 222호 (중계동, 그린코아빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
그래약국,02-797-9990,"서울특별시 용산구 서빙고로 17, 용산 센트럴파크 해링턴스퀘어 105동 2층 16호 (한강로3가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
은성약국,02-816-4744,"서울특별시 동작구 노량진로8길 3, 경성빌딩 (노량진동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
정언약국,02-3426-2869,"서울특별시 강동구 상암로51길 46, 103동 108호 (명일동, 아름누리)",15:00~21:00,15:00~21:00,15:00~21:00,15:00~21:00,15:00~21:00,15:00~21:00,15:00~21:00,15:00~21:00,주간
한사랑약국,02-567-7850,"서울특별시 강남구 선릉로 513, 1층 (역삼동, 아펙스타워)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
일원정류장약국,02-445-7794,"서울특별시 강남구 일원로 120, 102호,지하1-4호 (일원동, 샘터마을아파트)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,09:00~13:00,-,-,주간
한티하나약국,02-564-0805,"서울특별시 강남구 도곡로 317, 2층 201호 (역삼동)",08:50~19:00,08:50~19:00,08:50~19:00,08:50~19:00,08:50~19:00,08:50~15:00,-,-,주간
고운마음약국,02-3663-7779,"서울특별시 강서구 양천로 500, 등촌동노블리움오피스텔 115호 (등촌동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~20:00,-,-,주간
도담약국,02-945-7650,"서울특별시 성북구 동소문로 305, 지층 (길음동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,10:00~14:00,주간
합격약국,02-3280-2680,서울특별시 동작구 만양로14길 57 (노량진동),10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,주간
이레약국,02-359-1945,서울특별시 은평구 통일로 738 (불광동),09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,-,-,-,주간
장생약국,02-976-8992,"서울특별시 노원구 섬밭로 263, 롯데상가1층 (중계동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:00,-,-,주간
팜스토리약국,02-356-8352,"서울특별시 은평구 은평로 111, 은평이마트 8층 (응암동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,주간
우정옵티마약국,02-6012-8600,"서울특별시 마포구 백범로 4, 1층 (노고산동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,주간
하얀약국,02-867-4175,서울특별시 금천구 남부순환로 1290 1층,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,09:00~12:00,09:00~12:00,주간
은평제일약국,02-359-1331,서울특별시 은평구 불광로 60 (불광동),08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,09:30~18:00,-,-,주간
모범약국,02-372-9139,"서울특별시 서대문구 증가로 129, (남가좌동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:30~22:00,14:00~22:00,15:00~21:30,주간
가까운약국,02-356-9813,"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,08:50~23:00,08:50~22:00,13:00~22:00,09:30~22:00,주간
비온뒤숲속약국,02-332-3250,"서울특별시 마포구 월드컵로 111, (망원동)",08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,08:30~25:00,09:00~25:00,10:00~25:00,주간
강남구청역약국,02-511-6252,"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)",08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~17:00,09:00~17:00,09:00~17:00,주간
마포삼성약국,02-712-8988,"서울특별시 마포구 도화길 33, 1층 우측호 (도화동)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,주간
새솔약국,02-421-3210,"서울특별시 송파구 마천로 41, 수기빌딩 2층 (방이동)",09:00~19:30,09:00~20:00,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,주간
유창온누리약국,02-400-7585,"서울특별시 송파구 송파대로 288, 신정빌딩 1층 (가락동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,10:00~20:00,주간
가까운온누리약국,02-2650-8828,"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,13:00~21:00,13:00~21:00,주간
우약국,02-3296-5900,"서울특별시 노원구 섬밭로 209, 209 (하계동)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~18:30,-,-,주간
경도약국,02-780-5004,서울특별시 영등포구 여의대방로 383,09:00~19:00,09:00~20:00,09:00~19:00,09:00~20:00,09:00~19:00,09:00~14:00,-,-,주간
신대영약국,02-447-8725,"서울특별시 광진구 구의강변로 22, (구의동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,-,-,주간
메디팜사랑약국,02-2213-5005,"서울특별시 동대문구 망우로18길 6, 1층 (휘경동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,09:00~18:00,-,주간
연세팜약국,02-518-2338,"서울특별시 강남구 학동로4길 24, 101호 (논현동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,09:00~14:00,09:00~14:00,주간
다정약국,02-951-5567,서울특별시 노원구 한글비석로 332,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,09:00~21:00,주간
해인약국,02-467-2519,"서울특별시 광진구 아차산로33길 63, 1층 (화양동)",12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,12:00~22:00,-,-,-,주간
오약국,02-415-6704,"서울특별시 송파구 백제고분로 386, 1층 (송파동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:30,-,-,주간
강남엘약국,02-533-7737,"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~21:00,09:30~18:00,-,-,주간
월드팜약국,02-474-2820,"서울특별시 강동구 진황도로 153, 101호 (둔촌동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~21:00,-,-,주간
왕약국,02-2202-5941,서울특별시 송파구 백제고분로 261 (삼전동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,14:00~21:00,주간
메디팜사랑약국,02-2601-8498,"서울특별시 강서구 화곡로 138, 1층 (화곡동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,주간
동아약국,02-419-3141,"서울특별시 송파구 올림픽로 114, 2층 (잠실동, 서경빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
정약국,02-431-7887,"서울특별시 송파구 충민로2길 28, 대진플라자2 1층 105호 (장지동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,09:00~13:00,-,주간
별약국,02-2062-1100,"서울특별시 양천구 오목로 345, 목동 슬로우스퀘어 108호 (목동)",09:00~21:00,09:00~21:00,09:00~20:00,09:00~21:00,09:00~21:00,09:00~17:00,-,-,주간
성대약국,02-821-1519,서울특별시 동작구 성대로 11 (상도동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,09:00~21:00,09:00~21:00,주간
다솜약국,02-447-7635,"서울특별시 광진구 천호대로 671, 2층 (구의동, 파크타운)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
새우리약국,02-865-9004,"서울특별시 금천구 디지털로 200, 우리은행 가산IT타워 3층 (가산동)",10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,09:00~14:30,-,-,주간
시온약국,02-426-2527,"서울특별시 강동구 고덕로 399, 메가스퀘어1동 214호 (고덕동, 고덕센트럴푸르지오)",08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,09:00~14:00,-,-,주간
