병원명,업무구분1,업무구분2,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,홈페이지
가톨릭대학교 은평성모병원,지역응급의료센터,종합병원,1811-7755,서울특별시 은평구 통일로 1021 (진관동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
연세대학교의과대학강남세브란스병원,지역응급의료센터,상급종합병원,02-2019-3114,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
서울대학교병원,권역응급의료센터,상급종합병원,1588-5700,서울특별시 종로구 대학로 101 (연건동),08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:30,-,-,http://www.snuh.org
중앙대학교병원,지역응급의료센터,상급종합병원,18001114,서울특별시 동작구 흑석로 102 (흑석동),08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~12:00,-,-,-
차의과학대학교강남차병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-3468-3000,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
혜민병원,지역응급의료기관,종합병원,02-2049-9036,서울특별시 광진구 자양로 85 (자양동),08:30~17:30,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,http://www.e-hyemin.co.kr
구로성심병원,지역응급의료기관,종합병원,02-2067-1500,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
학교법인가톨릭학원가톨릭대학교서울성모병원,지역응급의료센터,상급종합병원,1588-1511,서울특별시 서초구 반포대로 222 (반포동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-,-
삼성서울병원,지역응급의료센터,상급종합병원,02-3410-2114,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",08:30~15:30,08:30~15:30,08:30~15:30,08:30~15:30,08:30~15:30,-,-,-,http://www.samsunghospital.com
성애의료재단성애병원,지역응급의료센터,종합병원,02-840-7114,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,-
명지성모병원,지역응급의료기관,종합병원,02-1899-1475,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,http://www.myongji-sm.co.kr
경희대학교병원,지역응급의료센터,상급종합병원,02-958-8114,서울특별시 동대문구 경희대로 23 (회기동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,09:00~12:30,-,-,http://www.khuh.or.kr/
서울특별시보라매병원,지역응급의료센터,종합병원,02-870-2114,서울특별시 동작구 보라매로5길 20 (신대방동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.brmh.org
대림성모병원,지역응급의료기관,종합병원,02-829-9000,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.drh.co.kr
사랑의병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-880-0114,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동, )",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인인봉의료재단영등포병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-2635-2809,서울특별시 영등포구 당산로31길 10 (당산동3가),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
고려대학교의과대학부속구로병원,권역응급의료센터,상급종합병원,02-2626-1114,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-,http://guro.kumc.or.kr/main/index.do
인제대학교서울백병원,지역응급의료센터,종합병원,02-2270-0114,서울특별시 중구 마른내로 9 (저동2가),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
은평연세병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-388-8114,서울특별시 은평구 연서로 177 (갈현동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.epyonsei.co.kr/
강남고려병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-874-8001,서울특별시 관악구 관악로 242 (봉천동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
서울본병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-853-4600,"서울특별시 관악구 남부순환로 1449 (신림동, 서울본병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00,-
메디힐병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-2604-7551,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,http://www.mediheal.co.kr
희명병원,지역응급의료기관,종합병원,02-804-0002,서울특별시 금천구 시흥대로 244 (시흥동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.hopehp.co.kr
의료법인성화의료재단대한병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-903-3231,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
한강수병원,응급의료기관 외의 의료기관(응급의료시설),병원,1800-7119,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
우리들병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-2660-7500,서울특별시 강서구 하늘길 70 (과해동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-,http://seoul.wooridul.co.kr/
미즈메디병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,02-2007-1000,서울특별시 강서구 강서로 295 (내발산동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,https://www.mizmedi.com/
신촌연세병원,응급의료기관 외의 의료기관(응급의료시설),병원,02-337-7582,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,00:00~23:59,-,http://www.scys.co.kr
건국대학교병원,지역응급의료센터,상급종합병원,1588-1533,서울특별시 광진구 능동로 120-1 (화양동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-,http://www.kuh.ac.kr
의료법인 은성의료재단 좋은강안병원,지역응급의료기관,종합병원,051-625-0900,부산광역시 수영구 수영로 493 (남천동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://gang-an.or.kr/index.php
의료법인은성의료재단좋은삼선병원,지역응급의료센터,종합병원,051-322-0900,부산광역시 사상구 가야대로 326 (주례동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.samsun.or.kr
부산광역시의료원,지역응급의료기관,종합병원,051-507-3000,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,-,-,-,http://www.busanmc.or.kr
재단법인천주교부산교구유지재단 메리놀병원,지역응급의료기관,종합병원,051-465-8801,부산광역시 중구 중구로 121 (대청동4가),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.maryknoll.co.kr
대동병원,지역응급의료센터,종합병원,051-554-1233,부산광역시 동래구 충렬대로 187 (명륜동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,http://www.ddh.co.kr/
부산대학교병원,지역응급의료센터,상급종합병원,051-240-7000,부산광역시 서구 구덕로 179 (아미동1가),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,-
동남권원자력의학원,지역응급의료기관,종합병원,051-720-5114,부산광역시 기장군 장안읍 좌동길 40,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,http://www.dirams.re.kr
좋은문화병원,지역응급의료기관,종합병원,051-644-2002,부산광역시 동구 범일로 119 (범일동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.moonhwa.or.kr/
동래봉생병원,지역응급의료기관,종합병원,051-531-6000,부산광역시 동래구 안연로109번길 27 (안락동),08:30~17:30,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,08:30~12:30,-,-,http://www.bongseng.com/index.asp
고신대학교복음병원,지역응급의료센터,종합병원,051-990-6114,부산광역시 서구 감천로 262 (암남동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,-
의료법인 광혜의료재단 광혜병원,지역응급의료기관,종합병원,051-503-2111,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",09:00~17:30,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,08:30~12:30,-,-,http://www.gwanghyehospital.com
(의)서일의료재단기장병원,지역응급의료기관,병원,051-723-0171,부산광역시 기장군 기장읍 대청로72번길 6,09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.gjhp.kr/
부산성모병원(재단법인 천주교부산교구유지재단),지역응급의료기관,종합병원,051-933-7114,부산광역시 남구 용호로232번길 25-14 (용호동),08:40~17:30,08:40~17:30,08:40~17:30,08:40~17:30,08:40~17:30,08:40~12:30,-,-,http://bsm.or.kr
효성시티병원,응급의료기관 외의 의료기관(응급의료시설),병원,051-709-3000,부산광역시 해운대구 해운대로 135 (재송동),09:00~18:00,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,00:00~24:00,00:00~24:00,http://www.hshos.com/
인제대학교 해운대백병원,지역응급의료센터,종합병원,051-797-0100,부산광역시 해운대구 해운대로 875 (좌동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.paik.ac.kr/haeundae/
의료법인 인당의료재단 해운대부민병원,지역응급의료기관,종합병원,051-602-8000,부산광역시 해운대구 해운대로 584 (우동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,-
동아대학교병원,권역응급의료센터,상급종합병원,051-240-2400,부산광역시 서구 대신공원로 26 (동대신동3가),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,-,-,-,http://www.damc.or.kr
한국보훈복지의료공단부산보훈병원,지역응급의료기관,종합병원,051-601-6000,부산광역시 사상구 백양대로 420 (주례동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,-
세웅병원,응급의료기관 외의 의료기관(응급의료시설),병원,051-500-9700,부산광역시 금정구 서동로 162 (서동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,http://www.sewoongh.co.kr/
비에이치에스한서병원,지역응급의료센터,종합병원,051-756-0081,부산광역시 수영구 수영로 615 (광안동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.hanseohospital.or.kr
의료법인정화의료재단 김원묵기념봉생병원,지역응급의료기관,종합병원,051-664-4000,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",08:30~17:30,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,http://www.bongseng.co.kr/index.asp
영도병원,지역응급의료기관,종합병원,051-414-8101,부산광역시 영도구 태종로 85 (대교동2가),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.ydh.co.kr
의료법인인당의료재단부민병원,지역응급의료기관,종합병원,051-330-3000,부산광역시 북구 만덕대로 59 (덕천동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,-
의료법인온그룹의료재단온종합병원,지역응급의료센터,종합병원,051-607-0114,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,-
학교법인)동의병원,지역응급의료기관,종합병원,051-867-5101,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.demc.kr/
의료법인 행도의료재단 해동병원,지역응급의료기관,종합병원,051-412-6161,부산광역시 영도구 태종로 133 (봉래동3가),08:30~17:30,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,-
인제대학교부산백병원,지역응급의료센터,상급종합병원,051-890-6114,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,-
의료법인 갑을의료재단 갑을녹산병원,응급의료기관 외의 의료기관(응급의료시설),병원,051-974-8300,부산광역시 강서구 녹산산단321로 24-8 (송정동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,http://www.bigmind.co.kr/bigmind.php
삼육부산병원,지역응급의료기관,종합병원,051-242-9751,부산광역시 서구 대티로 170 (서대신동2가),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,08:30~17:30,-,-
재단법인한호기독교선교회 일신기독병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,051-630-0300,부산광역시 동구 정공단로 27 (좌천동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.ilsin.or.kr
세일병원,응급의료기관 외의 의료기관(응급의료시설),병원,051-464-8110,"부산광역시 동구 중앙대로 317 (초량동, 세일병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
학교법인춘해병원,지역응급의료기관,종합병원,051-638-8000,"부산광역시 부산진구 중앙대로 605, 지상1층~지상9층 (범천동)",09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,-
구포성심병원,지역응급의료기관,종합병원,051-330-2001,부산광역시 북구 낙동대로 1786 (구포동),08:30~18:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,08:30~12:30,-
재단법인베스티안재단베스티안부산병원,응급의료기관 외의 의료기관(응급의료시설),병원,051-332-7575,부산광역시 북구 화명대로 1 (화명동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
대구가톨릭대학교병원,지역응급의료센터,상급종합병원,053-650-3000,대구광역시 남구 두류공원로17길 33 (대명동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,-,-,http://www.dcmc.co.kr/
드림종합병원,지역응급의료기관,종합병원,053-640-8800,대구광역시 남구 대명로 153 (대명동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
영남대학교병원,권역응급의료센터,상급종합병원,053-623-8001,대구광역시 남구 현충로 170 (대명동),09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,-,-,-,http://www.yumc.ac.kr
대구의료원,지역응급의료기관,종합병원,053-560-7575,대구광역시 서구 평리로 157 (중리동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,http://www.daegumc.co.kr
계명대학교대구동산병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,053-250-8013,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,-
계명대학교동산병원,지역응급의료센터,상급종합병원,1577-6622,대구광역시 달서구 달구벌대로 1035 (신당동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.dsmc.or.kr/
굿모닝병원,응급의료기관 외의 의료기관(응급의료시설),병원,053-620-9100,대구광역시 남구 성당로 224 (대명동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,00:00~24:00,00:00~24:00,-
한국보훈복지의료공단대구보훈병원,지역응급의료기관,종합병원,053-630-7000,대구광역시 달서구 월곡로 60 (도원동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,-
칠곡경북대학교병원,지역응급의료센터,상급종합병원,053-200-2000,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 5~8층 포함) (학정동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,http://www.knumc.org
곽병원,지역응급의료기관,종합병원,053-252-2401,대구광역시 중구 국채보상로 531 (수동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.kwakh.co.kr/
삼일병원,지역응급의료기관,종합병원,053-659-3100,"대구광역시 달서구 월배로 446, 가,다동 (송현동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
(재)미리내천주성삼성직수도회천주성삼병원,지역응급의료기관,종합병원,053-790-1000,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
나사렛종합병원,지역응급의료기관,종합병원,053-643-1400,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-
대구가톨릭대학교칠곡가톨릭병원,지역응급의료기관,종합병원,053-320-2500,대구광역시 북구 칠곡중앙대로 440 (읍내동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
더블유병원,지역응급의료기관,종합병원,053-550-5000,대구광역시 달서구 달구벌대로 1632 (감삼동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
