title,category,introduce,place,place_detail,phone_num,open_time,image_link
토이토핑슬라임 충북혁신점,슬라임카페,"##150여가지 토핑재료! 쾌적한공간! 나만의슬라임을 개성넘치게만들수있습니다.##평면에서 입체까지 무한한 상상력 디폼블럭만들기##100여가지의 다양한 휴대폰기종 보유 하나밖에없는 나만의폰케이스만들기##필통,보석함,거울 오르골만들기등  아이들은 물론 어른들도 좋아하게 만들어주는 토이토핑 충북혁신점 입니다.## 어린이집 유치원 기타 학원 및 생일파티(파티룸완비) 단체예약가능합니다 자세한 문의는 전화상담 부탁드립니다## 저희 토이토핑 충북혁신점은 벽이나천정에서 나오는 유해성분을 막아주기위해 피톤치드 공법으로 인테리어를 하여 아이들이 보다 안전하게 놀수있는 친환경 공간을 만들었습니다.",충북 진천군 덕산읍 두촌리,충북 진천군 덕산읍 시가로 10 포스빌딩3층,043-532-4440,평일: 13:00 ~ 19:00주말: 11:00 ~ 20:00공휴일: 11:00 ~ 20:00수요일: 휴무 ~ 공휴일정상영업,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20190102_256%2F15464335557375f62A_JPEG%2FlhVh2rvLBQTE0ozCCbe0QO7L.jpg
젤리버블슬라임,슬라임카페,대전최저가??만원으로 클리어슬라임 만들기와 파츠&토핑까지 모두 이용가능 합니다.?폰데코 진행합니다.나만의 하나뿐인 폰케이스 만들기 해보세요 ?✔ 폰데코 파츠 무제한이용,대전 중구 은행동,대전 중구 대종로480번길 40 3층 젤리버블슬라임,010-6658-0261,매일: 11:00 ~ 21:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181031_205%2F1540975638009JIveE_PNG%2FIETONipPWyLbg_cymkHtZRAa.png
인스앤슬라임 청주남이점,슬라임카페,"인스앤슬라임 청주남이점은 다양한 종류의 슬라임과 글리터, 폼볼부터 진주, 큐빅, 스폰지, 보석, 플라스틱 등 300여 가지의 무궁무진한 재료를 넣어서 직접 슬라임을 만들 수 있는 카페 형태의 체험 공간입니다.아이들 사이에서 큰 인기를 끌고 있는 인스, 판스, 떡메, 랩핑지, 마테, 도무송, 스티커북 등을 함께 판매하는 인스와 슬라임의 복합 매장입니다.",충북 청주시 서원구 남이면 양촌리,충북 청주시 서원구 남이면 양촌1길 10-8 1층 인스앤슬라임,070-4222-1110,평일: 13:00 ~ 19:00매주 월요일 휴무주말: 11:00 ~ 19:00체험입장 18:00시까지,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181227_15%2F15458848047149A7LK_JPEG%2FBCaDXLwWSWAWnWe23SogRKop.jpeg.jpg
슬라임스토리 청주점,슬라임카페,"[유해성분이 없는 안전한 슬라임스토리]2019년 추가된 KC인증 붕소함량 시험 합격!!언론에서 자주 나오는 MIT, CMIT, 폼알데히드, 프탈레이트계 가소제, 납 등의유해성분도 전혀 검출되지 않아 KC인증 검사를 통과한 슬라임카페입니다.슬라임은 이제 안전한 슬라임스토리에서 즐기세요^^시험 성적서는 매장에 항상 비치되어 있습니다.슬라임의 성지, 슬라임스토리가 청주에서 정식 오픈을 하였습니다.국내 최대 규모의 슬라임과 파츠들이 준비되어 있습니다.다양함과 편리한 환경속에서 슬라임을 체험하실 수 있도록 준비했습니다.슬라임 체험에 제공되는 기본 슬라임들은 KC인증을 취득한 안전한 제품입니다.아이와 부모가 함께하는 편안한 공간을 제공할 수 있도록 최선을 다하겠습니다.※ 주차안내 : 2시간 무료주차 가능합니다.",충북 청주시 흥덕구 복대동,충북 청주시 흥덕구 대농로 39,010-6779-3987,평일: 10:00 ~ 20:00방학기간평일: 14:00 ~ 20:00방학기간외주말: 10:00 ~ 20:00방학포함공휴일: 10:00 ~ 20:00방학포함,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181008_7%2F15390082126630fdux_JPEG%2FCuFpwM6MY4B7xnM06_LVe6KW.jpg
슬라임까페누뷜,슬라임카페,슬라임카페 누뷜 예천점 OPEN!KC안전인증을 받은 안전한 재료로 만드는 말랑말랑 다양한 슬라임체험과 자석칠판놀이까지!,경북 예천군 호명면 산합리,경북 예천군 호명면 새움3로 20 2층 204호,054-654-9876,평일: 11:00 ~ 20:00주말: 11:00 ~ 20:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181224_74%2F1545641377878HpIKm_JPEG%2FQ2TqqaLhNcyRGr-ERtOt_tdS.jpg
라임슬라임,슬라임카페,직접 만들어 보는 붕사없는 안전한 슬라임. 다양한 재료와 파츠와 재료로 나만의 슬라임 만들기.단체체험 환영♡,전북 익산시 모현동1가,전북 익산시 배산로 139 송하빌딩 104호,010-2562-8839,주말: 11:00 ~ 20:00공휴일 포함토요일: 11:00 ~ 20:00공휴일 포함일요일: 11:00 ~ 20:00공휴일 포함,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181029_285%2F15408032118107PaD6_JPEG%2FH0G2uNg22Xxk3sPBKgbl_vQC.jpg
모찌모찌슬라임카페,슬라임카페,,전북 전주시 덕진구 인후동1가,전북 전주시 덕진구 건산로 229 풍천빌딩3층,063-247-0717,매일: 13:00 ~ 19:00매주 화요일 쉽니다~^^토요일: 10:00 ~ 19:00주말.공휴일일요일: 10:00 ~ 19:00주말.공휴일,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20190725_102%2F1564038530582szpU9_JPEG%2F-ZQqtPf-sxOR7fnEnzm9DWAc.jpg
슬라임카페 누뷜,슬라임카페,누뷜 광주점은 남녀노소 누구나 즐길수있는 이색체험 슬라임카페로 오감만족 색다른 경험을 할수있는 카페입니다:)시간무제한이용!  kc인증은 물론 알록달록100가지넘는 파츠까지! 광주슬라임카페는 역시 누뷜!,광주 북구 용두동,광주 북구 임방울대로1042번길 17 첨단용두 산이고운 제2상가,010-9473-1280,평일: 13:00 ~ 19:00주말: 11:00 ~ 19:30공휴일: 11:00 ~ 19:30,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181126_82%2F1543203812515HNIxL_JPEG%2FZ0vPuy8c6XK4zURKyr_gC7Sa.jpg
스꼬비하우스,슬라임카페,,대구 중구 대봉동,대구 중구 동덕로 70 4층,010-3493-5050,"매일: 13:00 ~ 20:00도자기 체험 시간 화-토 11시,2시,5시,8시",https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20191226_271%2F1577358735080V0hgI_JPEG%2FXK843dWuN7tCw-eEaf1q2qhh.jpg
아임슬라임카페,슬라임카페,진짜 내아이를 생각하며 만든 아임슬라임 카페 입니다.1. KC 인증 국산풀2. 식용 베이킹소다3. 식용색소 /  식용향료4. 식물성 글리세린5. 리뉴6.100% 알로에젤♡직접 만드는 안전한 슬라임 체험세상 하나뿐인 나만의 폰케이스 만들기 체험세상 하나뿐인 나만의 필통 만들기 체험아이 팔찌 어른 팔찌는 무료로 만들기♡#부산폰케이스카페 #해운대폰케이스만들기카페 #장산슬라임카페 #부산슬라임카페 #해운대슬라임카페 #부산필통만들기 #해운대필통만들기 #부산체험카페  #부산이색카페 #부산핸드폰케이스만들기 #슬라임카페 #부산아이와갈만한곳 #부산데이트 #해운대데이트 #부산생일파티 #부산초딩생일파티 #해운대생일파티,부산 해운대구 좌동,부산 해운대구 해운대로 802 웅신시네아트 B동 7층 701호,051-701-0655,평일: 13:00 ~ 20:00주말: 10:30 ~ 21:00공휴일: 10:30 ~ 21:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181223_249%2F1545514612992zQlHW_JPEG%2FdwWBdv84OEEH-EMpnoQ3lQqx.jpg
헤이슬라임,슬라임카페,,부산 남구 용호동,부산 남구 분포로 145,070-8802-0233,,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20190121_64%2F1548066412430RW42L_JPEG%2F7pI-CuOCwiww2ZeWruk4SSeW.jpg
니나노슬라임카페,슬라임카페,니나노슬라임은 KC인증및 FDA승인받은 안전한재료와천연재료로 만들어지는 수제슬라임입니다~^^,경남 양산시 물금읍 범어리,경남 양산시 물금읍 청운로 349 세정에스타 302호,010-9551-8129,평일: 13:00 ~ 19:00평일은 예약제로 운영합니다주말: 11:00 ~ 19:00공휴일: 11:00 ~ 19:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181230_168%2F1546150981338fjj5l_JPEG%2Fub1AdGMRbAvEUJoBZN6j-Vvb.jpg
슬라블라 슬라임 인스,슬라임카페,2019년 무해인증제품만 사용합니다.♡휴대폰케이스 보석함 동전지갑 오르골 필통 거울 만들기 넘 이뻐요 (12000원)슬라임 토핑 세트가 10000원부터 전국 가장 저렴이로 준비했습니다.^^♡400개이상의 이쁜 비즈 스팽글 파츠가 있어요^^서울 홍대에서 가져온 인스 도무송 랩핑지 떡메 마스킹테이프 있습니다. 나만의 슬라임과 머리핀 귀찌 반지만들기도 즐겨보세요~~~예쁜 핑크카페로 놀러오세요^^♡♡♡ 아모스 물풀(문구KC) 사용하지 않아요 슬라임전용액사용합니다. 만져도 인체무해 완구KC인증을 받은 슬라임 전용액으로 토핑이 잘 고정되며 손으로 만져도 무해함을 인증받은 안전한 슬라임전용액을 사용합니다. ,대구 수성구 신매동,대구 수성구 달구벌대로645길 11 4층 403호,010-7931-5256,평일: 11:00 ~ 21:00주말: 11:00 ~ 21:00공휴일: 11:00 ~ 21:00월요일: 휴무 ~ 공휴일 월요일은 정상오픈합니다.,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181215_105%2F1544802352658mg7M7_JPEG%2FFL7FQChvQw9pCEjmSH3i_z4C.jpg
킹콩슬라임,슬라임카페,,경남 창원시 의창구 북면 감계리,경남 창원시 의창구 북면 감계로110번길 54-7 이엠프라자 3층,055-255-7941,,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181115_187%2F1542291291911MDOnw_JPEG%2FC4_wLlcKFPXPdXwHE9HlRR00.jpg
슬라임카페누뷜 김해장유점,슬라임카페,슬라임카페 누뷜은 시간제한이 없으며 아이들과 맘껏 즐기다 가시라고 보드게임과 닌텐도 스위치게임을 추가로 넣었어요~^^   꼭 슬라임을 하지않고 지나가다 음료만이용하셔두되구요~ 언제든지 부담없이 오셔서 소통해요^^   그리고 단체문의/생일파티 환영합니다~  문의주세요~^^,경남 김해시 부곡동,경남 김해시 월산로 162 네오푸드앤조이 상가 내 2층,055-313-4541,평일: 12:00 ~ 20:00주말: 12:00 ~ 22:00공휴일: 12:00 ~ 22:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181023_284%2F1540267107572XBqEh_JPEG%2FDaFJDxYK6a22470Z4HNOe5M6.jpg
토이토핑슬라임 월성점,슬라임카페,"❤매일  다른 설레임❤내가 만드는 나만의 슬라임 ""토이토핑 슬라임"" 월성점입니다..KC인증받은 안전한 재료와 다양한 토핑 (비즈,글리터,파츠 등...)으로개성있는 나만의 슬라임,폰데코,소품을 만들자!!!학원(체험학습) 생일파티,단체이용 가능합니다.편하게 문의주세요 ^^ 070-8806-7799방문후 sns인증 해주시고, 선물도 받으세요^^#대구슬라임카페 #달서구슬라임카페 #토이토핑슬라임월성점 #신월성슬라임카페 평일  13;00~20;00주말.공휴일  10;00~21;00",대구 달서구 월성동,대구 달서구 조암로 1 미래타워 5층 503호,070-8806-7799,평일: 13:00 ~ 20:00주말: 10:00 ~ 21:00공휴일: 10:00 ~ 21:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181112_171%2F1542015849081AqPMc_JPEG%2FsYgbRGdm91UsgxwUlgR9TmHO.jpg
릴리펏 의정부민락점,"키즈카페,실내놀이터",릴리펏은 최고급 이탈리안 레스토랑과 놀이시설이 결합된 프리미엄 키즈카페 입니다.과학적인 설계를 통해 크지 않은 공간에서도 아이들이 즐겁게 놀 수 있습니다. 놀이 공간이 한 눈에 들어오는 설계를 통해 엄마는 아이의 노는 모습을 자리에서 지켜보며 최고급 수준의 이탈리안 요리를 즐길 수 있습니다....,경기 의정부시 민락동,경기 의정부시 오목로225번길 162,031-851-1129,주말: 10:30 ~ 20:30공휴일: 10:30 ~ 20:30평일: 10:30 ~ 20:30월요일 휴무,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20191217_84%2F1576563980815wJXPx_JPEG%2F%25B4%25D9%25BF%25EE%25B7%25CE%25B5%25E5_%252827%2529.jpg
밀양아리랑대공원,근린공원,,경남 밀양시 교동,경남 밀양시 교동 492,,,https://cloud.monpass.im/app/images/shop-image/%E1%84%86%E1%85%B5%E1%86%AF%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%A1%E1%84%85%E1%85%B5%E1%84%85%E1%85%A1%E1%86%BC%E1%84%83%E1%85%A2%E1%84%80%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%AF%E1%86%AB.jpg
오산죽미령평화공원,"도시,테마공원",,경기 오산시 외삼미동,경기 오산시 외삼미동 600-1,,,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDAzMTBfMTUx%2FMDAxNTgzODAzOTI4ODUz.5YJCkYe617BKxfVwL2uDxuNBW5N1FkOBbc1L8kpeht8g.lTZVVnStowRK1ra4oTVjAdX2JsSR_46jE0z04No6c-Eg.PNG.osan_si%2F%25BA%25ED%25B7%25CE%25B1%25D7%25BC%25B6%25B3%25D7%25C0%25CF%2528185x158%25292.png%23185x185
심플릿베이킹스튜디오,베이커리,좋은 재료로 만들어 합리적인 가격으로 판매합니다.  베이킹 수업을 진행합니다. 어린이 수업도 가능합니다. ,경기 성남시 분당구 구미동,경기 성남시 분당구 돌마로 80 현대벤처빌 지하1층,010-2500-6494,매일: 11:00 ~ 20:00공휴일: 휴무 ~ 일요일 휴무,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20181113_265%2F1542118659005FQUxQ_JPEG%2F-45IHZD98x5H0_ju1_fMsbJa.jpeg.jpg
담다,공방,,대전 유성구 문지동,대전 유성구 문지로299번길 119,010-2546-5971,매일: 09:00 ~ 22:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20180416_19%2F1523865510132Wza64_JPEG%2F0cK0NJJSUNiQXEFtvAiv_tLX.jpeg.jpg
달콤On베이킹스튜디오,공방,정성듬뿍~좋은재료들만 골라 나와 사랑하는 사람들과 함께나눌수있는 즐베이킹시간오늘도 달콤on~!나의 숨은재능이 발견되는곳~~^^달콤on으로 놀러오세요~~^______^,경기 평택시 청북읍 후사리,경기 평택시 청북읍 청북중앙로 9-104,010-9223-0734,수요일: 10:00 ~ 19:00목요일: 10:00 ~ 19:00금요일: 10:00 ~ 19:00토요일: 11:00 ~ 15:00월요일: 10:00 ~ 19:00화요일: 10:00 ~ 19:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20180910_227%2F1536548669477QNsg6_JPEG%2FLZpIC4-It5NttGW5yemGyYtz.jpg
오유스튜디오,"카페,디저트",키즈베이킹원데이클래스마카롱 원데이 클래스커피 베이커리 운영,경기 용인시 기흥구 고매동,경기 용인시 기흥구 공세로 33 1층 카페 오유스튜디오,010-7473-9731,매일: 09:00 ~ 18:00,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20191122_75%2F15743914883972dhsf_JPEG%2FW7bnpwd2yUoF0oN1uXIN3cbz.jpg
향기감성아트공방 리틀선셋,공방,"리틀선셋 공방은 자율간편클래스인 '오픈클래스'와 레시피와 함께 진행되는 '정규원데이클래스' 그리고 기타 취미, 자격증반으로 이루어져있습니다.오픈클래스로는 나만의 향수, 퍼퓸핸드크림, 디퓨저, 룸/패브릭 스프레이, 기본캔들, 레진스톤 방향제, 왁스타블렛, 석고방향제, 바스붐입욕제 등이 있습니다. 착한 금액으로 자율성을 높인 클래스입니다. '나만의 향수 DIY 오픈클래스'는 68여가지 향료들 중 원하시는 향료를 여러개 골라 (4개 이상부터 금액추가) 만들고자 하는 느낌대로 스스로 제작하게되며 필요하실 경우 코치 가능합니다.'개인맞춤 향수 클래스'는 예약이 필요한 서비스로 2시간 가량동안 향기 취향분석부터 전문 조향과정까지 심층적으로 맞춰드리는 프라이빗 클래스입니다. 90여가지 이상의 향료들 중 타입에 맞게 권해드리며 그 중 원하시는 향료를 골라 (추가비용X)총 3번의 test 블랜딩 작업에 들어갑니다.  그 중 가장 마음에 드는 향으로 최종 향수를 제작하시게 됩니다.",경북 경산시 중산동,경북 경산시 펜타힐즈2로 59 중산 S테라스 상가 4층 향기감성아트공방 리틀선셋,010-4434-9094,평일: 11:00 ~ 20:00100% 예약제주말: 11:00 ~ 20:00100% 예약제공휴일: 11:00 ~ 20:00100% 예약제월요일: 휴무 ~ ,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20191203_41%2F1575347842758QrOw1_JPEG%2FRwFsp4TVpher1G4NoERuGo6E.jpg
,기타,"강동 한켠에 소담히 자리 잡아엄마와 아이들, 모두가 소소하게 즐길 수 있는문화복합공간 강동412-1.LAB 입니다.",경남 김해시 ,경남 김해시 김해대로2272번길 81,1811-9285,"매일: 10:30 ~ 19:00매주 월요일, 화요일 휴무",
민스슬라임&폰데코,슬라임카페,,서울 강서구 마곡동,서울 강서구 마곡서1로 115-1 마곡헤리움1차 3층 309호,02-6407-7882,평일: 13:00 ~ 19:00매주 월요일 정기휴무주말: 13:00 ~ 19:004월한달간 주말공휴일 오후1시오픈공휴일: 13:00 ~ 19:004월한달간 주말공휴일 오후1시오픈,https://search.pstatic.net/common/?autoRotate=true&quality=95&src=http%3A%2F%2Fldb.phinf.naver.net%2F20190910_247%2F1568088548274OhQuX_JPEG%2FrqXu5wm9b3H6QOeBMsYKbqZC.jpeg.jpg
,기타,"KC인증된 재료들로만 사용^^환경호른몬이나 유해물질 등이 들어있는 완제품슬라임 NO!!!내가 직접 만드는 안전한 ★수제슬라임★ OK!!!(클리어/찰방워터/앨머스/버터/클라우드/샤벳트/펄/야광 등) 다양한 종류게다가 ★부천최대600★가지 이상의 파츠를 고르는 재미까지~ YEAH!!!!스트레스풀고 오감만족시키는 건 슬라임만한게 없다는~~~식용색소 + 천연향료 + 반짝이 + 색모래는 ★무료★ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 내 맘껏 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀여운 반려식물 ★마리모★ 친구와나만의★데코덴 (폰케이스/필통/오르골/보석함/무드등)★팔찌만들기, 디폼블럭, 양초만들기★모래놀이★는 우리 아이들이 제일 선호하는물없이 뭉쳐지는 ≪샌디에고 모래≫ 를 사용하고 있으니안전한 놀이를 즐길 수 있습니다.★안전하고 즐겁게 다양한 놀이공간★으로 만족시켜 드리는위드아이존이 되겠습니다.",경기 부천시 상동,경기 부천시 길주로77번길 55-10 2층,032-673-8989,평일: 11:00 ~ 20:00연중무휴주말: 10:00 ~ 20:00연중무휴공휴일: 10:00 ~ 20:00연중무휴,
,기타,,인천 동구 송림동,인천 동구 금곡로103번길 3,010-6289-8553,,
,기타,바풍잘되는 만득이 슬라임~내손으로 만드는 DIY슬라임 입고요^^,서울 양천구 신월동,서울 양천구 오목로 34 1층,010-4422-0519,목요일: 01:30 ~ 20:00금요일: 01:30 ~ 20:00토요일: 11:00 ~ 20:00일요일: 11:00 ~ 20:00공휴일: 11:00 ~ 20:00월요일: 01:30 ~ 20:00화요일: 01:30 ~ 20:00수요일: 01:30 ~ 20:00,
